Date,Time,Input Organic Fertilizer (gm),Nitrogen,Phosporus,Potasium,Temperature,Moisture,Location,Organic Fertilizer
29.10.2023,11:05 AM,100,48 mg/kg,119 mg/kg,107 mg/kg,26,859,"Ashulia,Savar,Dhaka",
29.10.2023,12:45 PM,,50 mg/kg,124 mg/kg,113 mg/kg,27,863,"Ashulia,Savar,Dhaka",
30.10.2023,10:20 AM,,53 mg/kg,120 mg/kg,118 mg/kg,29,853,"Ashulia,Savar,Dhaka",
30.10.2023,10:25 AM,,54 mg/kg,122 mg/kg,120 mg/kg,29,873,"Ashulia,Savar,Dhaka",
30.10.2023,10:30 AM,,54 mg/kg,122 mg/kg,120 mg/kg,29,852,"Ashulia,Savar,Dhaka",
30.10.2023,10:45 AM,,56 mg/kg,123 mg/kg,121 mg/kg,29,870,"Ashulia,Savar,Dhaka",
30.10.2023,10:46 AM,,56 mg/kg,123 mg/kg,121 mg/kg,29,861,"Ashulia,Savar,Dhaka",
30.10.2023,10:47 AM,,56 mg/kg,123 mg/kg,121 mg/kg,29,861,"Ashulia,Savar,Dhaka",
30.10.2023,10:50 AM,,56 mg/kg,123 mg/kg,121 mg/kg,29,872,"Ashulia,Savar,Dhaka",
30.10.2023,11:10 AM,,57 mg/kg,123 mg/kg,121 mg/kg,29,875,"Ashulia,Savar,Dhaka",
31.10.2023,12:46 PM,,47 mg/kg,117 mg/kg,107 mg/kg,28,857,"Ashulia,Savar,Dhaka",
31.10.2023,12:48 PM,,47 mg/kg,117 mg/kg,107 mg/kg,28,867,"Ashulia,Savar,Dhaka",
31.10.2023,12:50 PM,,47 mg/kg,117 mg/kg,107 mg/kg,28,857,"Ashulia,Savar,Dhaka",
31.10.2023,12:51 PM,,47 mg/kg,117 mg/kg,107 mg/kg,28,855,"Ashulia,Savar,Dhaka",
01.11.2023,2:15 PM,,53 mg/kg,120 mg/kg,118 mg/kg,26,857,"Ashulia,Savar,Dhaka",
01.11.2023,2:17 PM,,53 mg/kg,120 mg/kg,118 mg/kg,26,860,"Ashulia,Savar,Dhaka",
01.11.2023,2:20 PM,,47 mg/kg,120 mg/kg,118 mg/kg,26,873,"Ashulia,Savar,Dhaka",
